pair_id,piece_id,split,context_section,target_section,context_ntokens,target_ntokens,compound_ks,sim_bucket
0,1,val,00001_s0_A_11-28,00001_s1_B_29-39,242,162,0.586634,sim:low
1,1,val,00001_s1_B_29-39,00001_s0_A_11-28,162,242,0.586634,sim:low
2,2,train,00002_s0_A_5-20,00002_s1_B_25-32,175,92,0.541517,sim:low
3,2,train,00002_s0_A_5-20,00002_s2_A_33-40,175,72,0.597968,sim:low
4,2,train,00002_s0_A_5-20,00002_s3_C_41-52,175,199,0.573615,sim:low
5,2,train,00002_s0_A_5-20,00002_s4_D_53-64,175,172,0.515387,sim:low
6,2,train,00002_s1_B_25-32,00002_s0_A_5-20,92,175,0.541517,sim:low
7,2,train,00002_s1_B_25-32,00002_s2_A_33-40,92,72,0.741813,sim:mid
8,2,train,00002_s1_B_25-32,00002_s3_C_41-52,92,199,0.458806,sim:low
9,2,train,00002_s1_B_25-32,00002_s4_D_53-64,92,172,0.593124,sim:low
10,2,train,00002_s2_A_33-40,00002_s0_A_5-20,72,175,0.597968,sim:low
11,2,train,00002_s2_A_33-40,00002_s1_B_25-32,72,92,0.741813,sim:mid
12,2,train,00002_s2_A_33-40,00002_s3_C_41-52,72,199,0.484508,sim:low
13,2,train,00002_s2_A_33-40,00002_s4_D_53-64,72,172,0.827566,sim:high
14,2,train,00002_s3_C_41-52,00002_s0_A_5-20,199,175,0.573615,sim:low
15,2,train,00002_s3_C_41-52,00002_s1_B_25-32,199,92,0.458806,sim:low
16,2,train,00002_s3_C_41-52,00002_s2_A_33-40,199,72,0.484508,sim:low
17,2,train,00002_s3_C_41-52,00002_s4_D_53-64,199,172,0.496597,sim:low
18,2,train,00002_s4_D_53-64,00002_s0_A_5-20,172,175,0.515387,sim:low
19,2,train,00002_s4_D_53-64,00002_s1_B_25-32,172,92,0.593124,sim:low
20,2,train,00002_s4_D_53-64,00002_s2_A_33-40,172,72,0.827566,sim:high
21,2,train,00002_s4_D_53-64,00002_s3_C_41-52,172,199,0.496597,sim:low
22,3,train,00003_s0_A_4-7,00003_s1_B_11-22,61,158,0.533047,sim:low
23,3,train,00003_s0_A_4-7,00003_s2_B_23-34,61,161,0.548233,sim:low
24,3,train,00003_s0_A_4-7,00003_s3_B_35-46,61,156,0.545092,sim:low
25,3,train,00003_s1_B_11-22,00003_s0_A_4-7,158,61,0.533047,sim:low
26,3,train,00003_s1_B_11-22,00003_s2_B_23-34,158,161,0.995161,sim:high
27,3,train,00003_s1_B_11-22,00003_s3_B_35-46,158,156,0.664812,sim:mid
28,3,train,00003_s2_B_23-34,00003_s0_A_4-7,161,61,0.548233,sim:low
29,3,train,00003_s2_B_23-34,00003_s1_B_11-22,161,158,0.995161,sim:high
30,3,train,00003_s2_B_23-34,00003_s3_B_35-46,161,156,0.67202,sim:mid
31,3,train,00003_s3_B_35-46,00003_s0_A_4-7,156,61,0.545092,sim:low
32,3,train,00003_s3_B_35-46,00003_s1_B_11-22,156,158,0.664812,sim:mid
33,3,train,00003_s3_B_35-46,00003_s2_B_23-34,156,161,0.67202,sim:mid
